Metadata,Site,Vienna_woods_1V,Vienna_woods_1O,Vienna_woods_2V,Vienna_woods_2O,Vienna_woods_3V,Vienna_woods_3O,Vienna_woods_4V,Vienna_woods_4O,Peripheral_garden_1V,Peripheral_garden_1O,Peripheral_garden_2V,Peripheral_garden_2O,Peripheral_garden_3V,Peripheral_garden_3O,Peripheral_garden_4V,Peripheral_garden_4O,Urban_woods_1V,Urban_woods_1O,Urban_woods_2V,Urban_woods_2O,Urban_woods_3V,Urban_woods_3O,Urban_woods_4V,Urban_woods_4O,Central_garden_1V,Central_garden_1O,Central_garden_2V,Central_garden_2O,Central_garden_3V,Central_garden_3O,Central_garden_4V,Central_garden_4O,City_park_1V,City_park_1O,City_park_2V,City_park_2O,City_park_3V,City_park_3O,City_park_4V,City_park_4O,Riverine_forest_1V,Riverine_forest_1O,Riverine_forest_2V,Riverine_forest_2O,Riverine_forest_3V,Riverine_forest_3O,Riverine_forest_4V,Riverine_forest_4O,Plowland_garden_1V,Plowland_garden_1O,Plowland_garden_2V,Plowland_garden_2O,Plowland_garden_3V,Plowland_garden_3O,Plowland_garden_4V,Plowland_garden_4O
Drosophila_limbata,All,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila_phalerata,All,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,12,0,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila_hydei,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila_repleta,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila_testacea,All,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila_confusa,All,0,0,0,0,1,0,0,0,2,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila_deflexa,All,0,0,1,0,3,0,2,0,6,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila_rufifrons,All,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila_melanogaster,All,0,0,0,0,1,0,7,0,11,0,0,0,28,11,0,0,0,0,0,0,2,0,2,0,26,0,18,0,1,0,1,0,0,0,1,2,21,20,0,3,0,0,0,0,0,0,0,0,32,11,3,0,55,0,2,0
Drosophila_simulans,All,0,0,0,0,0,0,7,13,0,0,5,0,0,0,0,3,0,0,0,3,0,0,7,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila_ambigua,All,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila_bifasciata,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila_helvetica,All,0,0,0,0,3,0,4,0,49,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Drosophila_obscura,All,34,35,47,8,59,22,32,8,26,0,33,0,1,0,1,0,5,0,2,0,9,0,13,0,10,0,9,0,18,0,24,14,4,2,6,1,11,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila_subobscura,All,8,22,27,49,41,32,15,50,26,0,25,0,3,0,0,0,60,0,34,0,24,0,18,0,60,0,21,0,1,0,5,0,48,39,37,11,26,11,3,0,1,0,6,4,7,0,4,0,2,0,1,0,11,0,6,0
Drosophila_subsilvestris,All,0,0,2,0,7,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila_tristis,All,0,0,0,0,0,0,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scaptomyza_pallida,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sum_V,All,33,0,58,0,42,0,61,0,137,0,165,0,6,0,7,0,68,0,38,0,52,0,21,0,40,0,22,0,68,0,26,0,40,22,48,22,40,12,12,8,3,0,11,4,7,0,4,0,89,11,4,0,70,0,21,0
Sum_Y,All,0,52,0,103,0,300,0,15,0,101,0,534,0,148,0,2,0,52,0,119,0,1238,0,19,0,54,0,8,0,10,0,86,0,6,0,70,0,61,0,8,0,10,0,8,0,19,0,54,0,8,0,10,0,86,0,19
